transaction_id,customer_id,customer_name,account_number,account_type,transaction_type,transaction_amount,transaction_date,branch_code,ifsc_code,customer_age,customer_gender,credit_score,employment_status,monthly_income,loan_account,payment_status,loan_amount,loan_tenure_months,emi_amount
277d8a04-e13b-45e2-8be5-afcb76fb4332,f15870a6-d6bd-456b-b2f4-ecac5eb389fb,Edward Mendoza,DLHW94939513288398,Savings,Payment,45712.07,2024-01-13,BR004,BVWGGBXRFL9,27,Female,636.0,Retired,382623.8,True,Prepaid,100579.79,31,17301.64
7dc35fc9-9315-4c13-ab5e-c6800446f9c0,09811efa-643e-4ed3-9c94-d673f7ab0347,Tommy Clarke,ZCGH07616679545052,Loan,Withdrawal,38605.65,2024-03-03,BR005,DBATGBL9QI3,29,Male,701.0,Unemployed,162943.94,True,Prepaid,473983.32,66,8896.31
3f08c1b1-f3d3-4faa-8792-de0eb0ea7611,90277934-1e70-4b59-85dd-6e9809ec0617,Katherine Rangel,DSDX92744662746647,Fixed Deposit,Loan EMI,199240.81,2025-02-19,BR005,OOJEGB3OTXR,39,Other,671.0,Unemployed,354337.1,False,Late,0.0,0,0.0
9a8e449e-8e6b-4d06-b418-8fcbe066ab2a,febb2dd9-2954-431e-925a-e2fa11ad61f0,Elizabeth Brown,TZCU86207798989093,Current,Loan EMI,410812.02,2025-02-13,BR001,BQVAGBAA2TM,57,Male,568.0,Student,252329.59,False,Prepaid,0.0,0,0.0
d2ab7f34-4b44-4ff0-9111-6d8eb97cccb7,bc7a4c11-6a89-419c-b6cc-a10f6c93d087,Jeffrey Mcguire,DYTP83215327769980,Fixed Deposit,Transfer,422043.76,2024-05-28,BR004,GTITGBIF7CU,70,Other,742.0,Unemployed,168413.13,True,Late,1276880.98,206,5332.23
ad2ee113-85fb-4b63-83c7-75746bbc17d1,7c5cd6fc-7be7-43f1-b96a-d63e569cfd4b,Kenneth Miller,TQFI49659031056852,Fixed Deposit,Payment,368516.1,2024-06-23,BR005,GQJZGBX63SM,38,Male,602.0,Unemployed,212353.63,False,Default,0.0,0,0.0
d118885a-5ced-42f8-93ab-fbbdd09de42c,9a00c486-17e8-419b-ae73-b668a63f03ef,Seth Martinez,JBNA39880700558370,Current,Payment,448449.43,2024-02-04,BR005,TVHGGB8TTRP,52,Male,746.0,Self-Employed,448722.41,True,On Time,187566.66,34,43832.64
059a3248-2abe-4fc6-a4ba-bae90e6f1fbe,cdf345ea-c86d-4c18-91c9-cf5a10685a7d,Andrew Sullivan,SICB05295381971305,Savings,Withdrawal,161497.69,2024-04-23,BR002,NAEIGBVQ737,24,Female,642.0,Student,186163.67,True,Default,770200.13,68,35170.85
08816833-a4b0-4f15-a0f0-d27732c95bf8,25bca259-2d08-4330-b8bd-2148d18f44e1,Dawn Fuller,VTXX37203658410901,Savings,Payment,44168.51,2023-09-26,BR002,AIBJGBYY4HV,35,Other,633.0,Retired,150825.64,True,Late,1072492.72,139,26044.48
fd6339aa-2144-490d-99e4-8529817935c8,42f829f4-cad2-4185-99c9-9296bb6d0624,Bryan Castillo,VJNA44449355032717,Current,Transfer,29170.7,2023-11-18,BR002,NSSGGBF3Y3R,44,Male,670.0,Salaried,182385.54,True,On Time,1145903.58,110,16281.3
4e29a28e-5e0c-478e-bde0-0c2db69bd561,e289f317-4354-4673-8e21-559289d0dbbb,Dr. Amanda Buchanan,CHLM36509139177759,Loan,Payment,426081.15,2025-04-20,BR003,HNRXGB9EMQL,52,Male,615.0,Retired,115163.03,False,Default,0.0,0,0.0
5bc419aa-2ab5-4afb-931e-bdd346fdd27f,89648eea-e048-4178-8470-a7b56865281d,Lindsay Castillo,HMZA00034867513084,Savings,Transfer,365245.1,2024-03-28,BR005,NSUFGBJXGCJ,64,Other,556.0,Student,276871.14,True,On Time,1119890.89,232,21717.44
54722535-6b55-4c77-a181-b8c7b9f1b896,277dc16d-1fb1-4620-81ed-b090a2012de7,Kristine Valenzuela,KZKK41724445824709,Fixed Deposit,Loan EMI,349337.79,2024-07-25,BR002,PIUQGB7IW4P,19,Male,645.0,Self-Employed,82243.85,True,On Time,529216.34,120,42914.29
23ad5006-3b8a-41c9-ba2a-eb0606821e12,b5141c22-1968-4011-a48c-b23363fe475e,Sean Castro,OFJO42635646424395,Current,Loan EMI,169904.2,2025-02-16,BR002,FKAFGBT5PVA,49,Other,669.0,Salaried,410547.46,False,Default,0.0,0,0.0
203e9967-c19b-412c-b9ea-7e268036aca6,0ee3f50b-39cf-49dd-ad82-f87d924f1b20,Joshua Garcia,TAAQ56844729024723,Fixed Deposit,Loan EMI,190014.6,2024-04-14,BR004,VHCXGB31LNZ,32,Other,727.0,Retired,120534.32,True,Prepaid,221171.51,178,40995.12
748f80b9-04ea-4427-98a0-d29ff10a7784,caf55152-25c2-45b6-ad91-938e07e0c32f,Joe Carter,JEJG52435570915185,Savings,Deposit,479060.95,2024-09-27,BR002,KGUWGBK6S2Q,62,Other,590.0,Salaried,303046.96,True,Late,436790.07,178,49500.08
ecbd5805-15ef-487b-944f-59ffe4fb81a7,4909ec5d-efdd-41bd-bc57-745fa8d7adfc,Cory Norton,LZWD99781010761342,Current,Loan EMI,31995.99,2023-11-28,BR004,TRHDGB8NWQR,41,Male,679.0,Salaried,71262.49,True,Default,1491787.12,92,37689.17
3f67dc2a-cde8-4da2-ab61-80e64e271b87,aa6d5295-413e-4654-9801-0adc30b441b5,Ronald Hall,XOGW14074753727515,Current,Transfer,386888.5,2024-04-21,BR001,AWLJGBHN6MS,37,Male,645.0,Salaried,489442.04,True,Default,595465.96,40,2668.01
3890ca2d-b404-424f-97fc-ecd3d88e8ac0,78224b60-ef06-45d1-83ba-455c970a38ae,Douglas Smith,QFML90361153236267,Savings,Withdrawal,154885.7,2025-02-16,BR002,FWLPGBO5YU5,27,Female,652.0,Unemployed,232741.97,False,Prepaid,0.0,0,0.0
8b065fcb-8be7-4757-a1a4-2ac6c1698f0c,bceb9401-32d0-4ae2-ac71-f7cdccb9f0d4,James Goodman,CRRZ32713920348530,Savings,Payment,19623.4,2024-06-23,BR004,FWGZGB2IBAI,73,Other,699.0,Student,412863.96,False,Late,0.0,0,0.0
